table_name,constraint_name,constraint_type,column_name,foreign_table_name,foreign_column_name,delete_rule,update_rule
categories,2200_18470_1_not_null,CHECK,null,null,null,null,null
categories,2200_18470_2_not_null,CHECK,null,null,null,null,null
categories,categories_pkey,PRIMARY KEY,id,categories,id,null,null
categories,categories_slug_key,UNIQUE,slug,categories,slug,null,null
daily_study_stats,2200_18556_1_not_null,CHECK,null,null,null,null,null
daily_study_stats,2200_18556_2_not_null,CHECK,null,null,null,null,null
daily_study_stats,2200_18556_3_not_null,CHECK,null,null,null,null,null
daily_study_stats,2200_18556_4_not_null,CHECK,null,null,null,null,null
daily_study_stats,daily_study_stats_category_id_fkey,FOREIGN KEY,category_id,categories,id,CASCADE,NO ACTION
daily_study_stats,daily_study_stats_user_id_fkey,FOREIGN KEY,user_id,null,null,CASCADE,NO ACTION
daily_study_stats,daily_study_stats_pkey,PRIMARY KEY,id,daily_study_stats,id,null,null
daily_study_stats,daily_study_stats_user_id_study_date_category_id_key,UNIQUE,category_id,daily_study_stats,category_id,null,null
daily_study_stats,daily_study_stats_user_id_study_date_category_id_key,UNIQUE,study_date,daily_study_stats,user_id,null,null
daily_study_stats,daily_study_stats_user_id_study_date_category_id_key,UNIQUE,study_date,daily_study_stats,study_date,null,null
daily_study_stats,daily_study_stats_user_id_study_date_category_id_key,UNIQUE,category_id,daily_study_stats,study_date,null,null
daily_study_stats,daily_study_stats_user_id_study_date_category_id_key,UNIQUE,user_id,daily_study_stats,user_id,null,null
daily_study_stats,daily_study_stats_user_id_study_date_category_id_key,UNIQUE,user_id,daily_study_stats,study_date,null,null
daily_study_stats,daily_study_stats_user_id_study_date_category_id_key,UNIQUE,user_id,daily_study_stats,category_id,null,null
daily_study_stats,daily_study_stats_user_id_study_date_category_id_key,UNIQUE,study_date,daily_study_stats,category_id,null,null
daily_study_stats,daily_study_stats_user_id_study_date_category_id_key,UNIQUE,category_id,daily_study_stats,user_id,null,null
expressions,2200_18498_1_not_null,CHECK,null,null,null,null,null
expressions,2200_18498_2_not_null,CHECK,null,null,null,null,null
expressions,2200_18498_3_not_null,CHECK,null,null,null,null,null
expressions,2200_18498_4_not_null,CHECK,null,null,null,null,null
expressions,2200_18498_5_not_null,CHECK,null,null,null,null,null
expressions,expressions_session_id_fkey,FOREIGN KEY,session_id,sessions,id,CASCADE,NO ACTION
expressions,expressions_pkey,PRIMARY KEY,id,expressions,id,null,null
