schemaname,tablename,indexname,indexdef
public,categories,categories_pkey,CREATE UNIQUE INDEX categories_pkey ON public.categories USING btree (id)
public,categories,categories_slug_key,CREATE UNIQUE INDEX categories_slug_key ON public.categories USING btree (slug)
public,categories,idx_categories_slug,CREATE INDEX idx_categories_slug ON public.categories USING btree (slug)
public,daily_study_stats,daily_study_stats_pkey,CREATE UNIQUE INDEX daily_study_stats_pkey ON public.daily_study_stats USING btree (id)
public,daily_study_stats,daily_study_stats_user_id_study_date_category_id_key,"CREATE UNIQUE INDEX daily_study_stats_user_id_study_date_category_id_key ON public.daily_study_stats USING btree (user_id, study_date, category_id)"
public,daily_study_stats,idx_daily_study_stats_user_date,"CREATE INDEX idx_daily_study_stats_user_date ON public.daily_study_stats USING btree (user_id, study_date)"
public,expressions,expressions_pkey,CREATE UNIQUE INDEX expressions_pkey ON public.expressions USING btree (id)
public,expressions,idx_expressions_metadata,CREATE INDEX idx_expressions_metadata ON public.expressions USING gin (metadata)
public,expressions,idx_expressions_session_id,CREATE INDEX idx_expressions_session_id ON public.expressions USING btree (session_id)
public,sessions,idx_sessions_category_id,CREATE INDEX idx_sessions_category_id ON public.sessions USING btree (category_id)
public,sessions,idx_sessions_metadata,CREATE INDEX idx_sessions_metadata ON public.sessions USING gin (metadata)
public,sessions,sessions_category_id_session_number_key,"CREATE UNIQUE INDEX sessions_category_id_session_number_key ON public.sessions USING btree (category_id, session_number)"
public,sessions,sessions_pkey,CREATE UNIQUE INDEX sessions_pkey ON public.sessions USING btree (id)
public,user_expression_progress,idx_user_expression_progress_expression_id,CREATE INDEX idx_user_expression_progress_expression_id ON public.user_expression_progress USING btree (expression_id)
public,user_expression_progress,idx_user_expression_progress_user_id,CREATE INDEX idx_user_expression_progress_user_id ON public.user_expression_progress USING btree (user_id)
public,user_expression_progress,user_expression_progress_pkey,CREATE UNIQUE INDEX user_expression_progress_pkey ON public.user_expression_progress USING btree (id)
public,user_expression_progress,user_expression_progress_user_id_expression_id_key,"CREATE UNIQUE INDEX user_expression_progress_user_id_expression_id_key ON public.user_expression_progress USING btree (user_id, expression_id)"
public,user_session_progress,idx_user_session_progress_session_id,CREATE INDEX idx_user_session_progress_session_id ON public.user_session_progress USING btree (session_id)
public,user_session_progress,idx_user_session_progress_user_id,CREATE INDEX idx_user_session_progress_user_id ON public.user_session_progress USING btree (user_id)
public,user_session_progress,user_session_progress_pkey,CREATE UNIQUE INDEX user_session_progress_pkey ON public.user_session_progress USING btree (id)
public,user_session_progress,user_session_progress_user_id_session_id_key,"CREATE UNIQUE INDEX user_session_progress_user_id_session_id_key ON public.user_session_progress USING btree (user_id, session_id)"
public,user_settings,idx_user_settings_user_id,CREATE INDEX idx_user_settings_user_id ON public.user_settings USING btree (user_id)
public,user_settings,user_settings_pkey,CREATE UNIQUE INDEX user_settings_pkey ON public.user_settings USING btree (id)
public,user_settings,user_settings_user_id_key,CREATE UNIQUE INDEX user_settings_user_id_key ON public.user_settings USING btree (user_id)
