schemaname,tablename,policyname,permissive,roles,cmd,qual,with_check
public,categories,Authenticated users can delete categories,PERMISSIVE,{public},DELETE,(auth.role() = 'authenticated'::text),null
public,categories,Authenticated users can insert categories,PERMISSIVE,{public},INSERT,null,(auth.role() = 'authenticated'::text)
public,categories,Authenticated users can update categories,PERMISSIVE,{public},UPDATE,(auth.role() = 'authenticated'::text),null
public,categories,Categories are viewable by all users,PERMISSIVE,{public},SELECT,true,null
public,daily_study_stats,Users can insert own daily stats,PERMISSIVE,{public},INSERT,null,((user_id = auth.uid()) OR (user_id = '00000000-0000-0000-0000-000000000001'::uuid))
public,daily_study_stats,Users can insert their own daily stats,PERMISSIVE,{public},INSERT,null,(auth.uid() = user_id)
public,daily_study_stats,Users can update own daily stats,PERMISSIVE,{public},UPDATE,((user_id = auth.uid()) OR (user_id = '00000000-0000-0000-0000-000000000001'::uuid)),null
public,daily_study_stats,Users can update their own daily stats,PERMISSIVE,{public},UPDATE,(auth.uid() = user_id),null
public,daily_study_stats,Users can view own daily stats,PERMISSIVE,{public},SELECT,((user_id = auth.uid()) OR (user_id = '00000000-0000-0000-0000-000000000001'::uuid)),null
public,daily_study_stats,Users can view their own daily stats,PERMISSIVE,{public},SELECT,(auth.uid() = user_id),null
public,expressions,Authenticated users can delete expressions,PERMISSIVE,{public},DELETE,(auth.role() = 'authenticated'::text),null
public,expressions,Authenticated users can insert expressions,PERMISSIVE,{public},INSERT,null,(auth.role() = 'authenticated'::text)
public,expressions,Authenticated users can update expressions,PERMISSIVE,{public},UPDATE,(auth.role() = 'authenticated'::text),null
public,expressions,Expressions are viewable by all users,PERMISSIVE,{public},SELECT,true,null
public,sessions,Authenticated users can delete sessions,PERMISSIVE,{public},DELETE,(auth.role() = 'authenticated'::text),null
public,sessions,Authenticated users can insert sessions,PERMISSIVE,{public},INSERT,null,(auth.role() = 'authenticated'::text)
public,sessions,Authenticated users can update sessions,PERMISSIVE,{public},UPDATE,(auth.role() = 'authenticated'::text),null
public,sessions,Sessions are viewable by all users,PERMISSIVE,{public},SELECT,true,null
public,user_expression_progress,Users can insert own expression progress,PERMISSIVE,{public},INSERT,null,((user_id = auth.uid()) OR (user_id = '00000000-0000-0000-0000-000000000001'::uuid))
public,user_expression_progress,Users can insert their own expression progress,PERMISSIVE,{public},INSERT,null,(auth.uid() = user_id)
public,user_expression_progress,Users can update own expression progress,PERMISSIVE,{public},UPDATE,((user_id = auth.uid()) OR (user_id = '00000000-0000-0000-0000-000000000001'::uuid)),null
public,user_expression_progress,Users can view own expression progress,PERMISSIVE,{public},SELECT,((user_id = auth.uid()) OR (user_id = '00000000-0000-0000-0000-000000000001'::uuid)),null
public,user_expression_progress,Users can view their own expression progress,PERMISSIVE,{public},SELECT,(auth.uid() = user_id),null
public,user_session_progress,Users can insert own session progress,PERMISSIVE,{public},INSERT,null,((user_id = auth.uid()) OR (user_id = '00000000-0000-0000-0000-000000000001'::uuid))
public,user_session_progress,Users can insert their own session progress,PERMISSIVE,{public},INSERT,null,(auth.uid() = user_id)
public,user_session_progress,Users can update own session progress,PERMISSIVE,{public},UPDATE,((user_id = auth.uid()) OR (user_id = '00000000-0000-0000-0000-000000000001'::uuid)),null
public,user_session_progress,Users can update their own session progress,PERMISSIVE,{public},UPDATE,(auth.uid() = user_id),null
public,user_session_progress,Users can view own session progress,PERMISSIVE,{public},SELECT,((user_id = auth.uid()) OR (user_id = '00000000-0000-0000-0000-000000000001'::uuid)),null
public,user_session_progress,Users can view their own session progress,PERMISSIVE,{public},SELECT,(auth.uid() = user_id),null
public,user_settings,Users can insert own settings,PERMISSIVE,"{anon,authenticated}",INSERT,null,(user_id = '00000000-0000-0000-0000-000000000001'::uuid)
public,user_settings,Users can insert their own settings,PERMISSIVE,{public},INSERT,null,(auth.uid() = user_id)
public,user_settings,Users can update own settings,PERMISSIVE,"{anon,authenticated}",UPDATE,(user_id = '00000000-0000-0000-0000-000000000001'::uuid),null
public,user_settings,Users can update their own settings,PERMISSIVE,{public},UPDATE,(auth.uid() = user_id),null
public,user_settings,Users can view own settings,PERMISSIVE,"{anon,authenticated}",SELECT,(user_id = '00000000-0000-0000-0000-000000000001'::uuid),null
public,user_settings,Users can view their own settings,PERMISSIVE,{public},SELECT,(auth.uid() = user_id),null
